90021d257	317	254
90021d258	322	278
90021d259	333	288
90021d260	326	305
90022d257	314	224
90022d258	310	230
90022d259	319	247
90022d260	319	244
90027d120	325	257
90027d121	334	272
90028d117	310	281
90028d118	309	298
90031d212	347	258
90031d213	348	264
90032d199	289	296
90032d200	295	312
90054d114	362	203
90054d115	363	214
90055d113	333	213
90055d114	344	237
90081d210	316	227
90081d211	327	249
90082d209	337	289
90082d210	327	274
90096d218	366	273
90096d219	357	271
90097d215	375	279
90097d216	386	285
90100d95	333	290
90100d96	346	311
90101d96	359	307
90101d97	357	301
90104d141	383	297
90104d142	385	301
90105d143	388	289
90105d144	384	294
90110d63	313	276
90110d64	282	306
90111d69	321	252
90111d70	298	278
90118d76	311	273
90118d77	309	303
90119d73	330	230
90119d74	333	239
90124d75	363	273
90124d76	378	326
90125d76	321	275
90125d77	315	317
90132d157	343	197
90132d158	324	271
90133d162	341	239
90133d163	335	241
90138d170	339	194
90138d171	341	218
90139d157	333	230
90139d158	341	276
90147d116	333	203
90147d117	336	197
90148d115	280	234
90148d116	263	269
90153d116	318	289
90153d117	265	316
90154d113	328	262
90154d114	328	303
90164d141	344	256
90164d142	346	265
90165d139	349	289
90165d140	334	312
90176d51	330	256
90176d52	282	277
90177d120	310	193
90177d121	309	251
90218d120	324	233
90218d121	362	245
90219d119	351	247
90219d120	356	251
90230d116	360	241
90230d117	347	246
90231d116	346	258
90231d117	335	274
90248d107	306	198
90248d108	308	217
90249d124	336	251
90249d125	336	229
90260d116	340	238
90260d117	331	230
90261d116	349	236
90261d117	349	232
90262d116	369	263
90262d117	371	292
90263d116	349	250
90263d117	350	255
90270d55	313	238
90270d56	318	243
90271d53	340	225
90271d54	340	227
90272d52	298	280
90272d53	271	297
90273d54	254	266
90273d55	264	267
90274d53	299	306
90274d54	271	316
90275d44	274	269
90275d45	253	285
90276d54	292	264
90276d55	300	268
90277d49	356	282
90277d50	351	283
90278d54	346	276
90278d55	342	283
90279d54	354	271
90279d55	357	273
90280d54	375	254
90280d55	356	252
90281d58	294	283
90281d59	333	287
90282d54	323	282
90282d55	318	285
90283d58	343	268
90283d59	336	267
90286d96	326	267
90286d97	334	267
90286d98	360	274
90286d99	361	279
90287d100	343	273
90287d97	306	257
90287d98	314	259
90287d99	344	272
90288d52	294	299
90288d53	317	299
90289d52	313	261
90289d53	315	269
90290d54	305	284
90290d55	300	304
90291d41	333	268
90291d42	347	291
90292d42	350	277
90292d43	355	292
90293d41	313	266
90293d42	310	312
90294d42	330	241
90294d43	328	251
90295d41	340	264
90295d42	337	266
90296d40	296	270
90296d41	298	281
90297d40	327	294
90297d41	334	304
90298d40	373	267
90298d41	374	264
90299d41	336	257
90299d42	343	283
90300d44	318	253
90300d45	303	308
90301d44	277	268
90301d45	285	287
90302d44	344	242
90302d45	324	249
90303d44	358	221
90303d45	321	255
90304d44	387	200
90304d45	372	211
90305d44	324	245
90305d45	323	267
90306d34	330	316
90306d35	327	316
90307d34	358	295
90307d35	368	290
90308d34	376	239
90308d35	382	237
90309d34	308	267
90309d35	359	292
90310d34	339	271
90310d35	360	290
90311d34	364	241
90311d35	377	248
90312d34	311	265
90312d35	307	285
90313d34	359	243
90313d35	358	248
90314d34	327	256
90314d35	338	255
90315d34	344	248
90315d35	355	248
90316d34	354	322
90316d35	350	337
90317d34	369	334
90317d35	360	336
90320d34	367	257
90320d35	380	270
90321d34	370	230
90321d35	368	232
90322d34	366	255
90322d35	377	281
90323d34	359	303
90323d35	373	325
90324d34	340	320
90324d35	330	306
90325d32	331	302
90325d33	329	312
90326d32	336	267
90326d33	335	265
90327d32	319	223
90327d33	329	304
90328d49	345	247
90328d50	315	279
90329d50	296	283
90329d51	252	291
90330d52	313	264
90330d53	302	291
90331d49	304	271
90331d50	304	273
90332d51	315	275
90332d52	325	292
90333d50	333	278
90333d51	354	266
90336d32	360	260
90336d33	365	270
90337d31	333	200
90337d32	341	216
90338d32	287	279
90338d33	323	280
90339d32	303	283
90339d33	321	287
90340d31	342	213
90340d32	343	228
90341d31	342	210
90341d32	350	224
90342d32	332	235
90342d33	319	244
90343d31	365	251
90343d32	371	291
90344d30	351	269
90344d31	332	271
90345d32	330	287
90345d33	317	300
90346d29	344	229
90346d30	337	233
90347d31	360	293
90347d32	357	320
90350d31	346	329
90350d32	340	296
90352d33	298	209
